,customer_code,dispatch_weight,order_value_weight,final_weights,new_shift
917,2833,0.0010736728281715428,0.009670383926280572,0.029067203263335065,evng
1540,4528,0.0012674950014281631,0.005701027486580103,0.02022958432038224,both
5593,21447,0.0010762231199249192,0.006182323370390577,0.01862694377439319,evng
3166,12124,0.0007625372342595992,0.0073301978099844164,0.01564819747553758,evng
2266,6300,0.0010022646590769982,0.003871676538609173,0.010863482084027527,evng
1105,3339,0.0008568980291345328,0.004214627071208903,0.010110575231680826,both
1241,3716,0.000400395805280124,0.00797059998771622,0.008934455743404969,evng
237,1485,0.0011450809972660871,0.0026160825488535815,0.008386393188951608,evng
780,2526,0.0007803892765332353,0.003723410136451422,0.008134666234207982,evng
1032,3176,0.000874750071408169,0.0028278527679944654,0.006925136682325891,evng
5647,21575,0.0006452238136042763,0.003767720671013107,0.006805760382032136,evng
2264,6293,0.0008824009466682987,0.0027232339309227575,0.006727264195123814,both
2263,6292,0.0009563594075162197,0.002492616205965108,0.006673660618720441,evng
5505,21234,0.0006171706043171338,0.0038538830079571018,0.006658728813386149,evng
262,1531,0.0007013302321785611,0.0032255003666410275,0.006332966996177852,evng
1053,3223,0.0006579752723711591,0.003429619639106977,0.006317468697319767,evng
670,2274,0.0007140816909454441,0.003012751316490591,0.006022804296614075,evng
874,2727,0.000757436650752846,0.002655565938999017,0.005631070624430845,evng
5107,20337,0.0006579752723711591,0.0030156512013879097,0.005554925639440163,evng
477,1859,0.0007038805239319377,0.0027597390618864953,0.005438192017876361,evng
1812,5138,0.0003774431794997347,0.005042625835632209,0.005328388659061733,evng
2261,6271,0.0008262945280940139,0.002223322041165858,0.005143098227612178,both
1076,3272,0.0009206553229689475,0.0019111217423413754,0.004925757083972835,evng
411,1764,0.0009512588240094666,0.0018397946541985752,0.004899543521248777,both
319,1624,0.0008237442363406373,0.0019765309063451064,0.004558097044171695,both
2426,6835,0.00017341983922960783,0.009056283796087779,0.004396796562748722,mrng
1401,4151,0.0008798506549149222,0.0017399613990919294,0.004285841876607774,evng
839,2649,0.0008033419023136246,0.0017844541158525732,0.004013223756436704,both
1576,4609,0.000622271187823887,0.002291195364548087,0.003991437963021891,evng
2562,7145,0.0003544905537193455,0.00401098127457846,0.0039805480434705635,evng
368,1707,0.0007931407353001183,0.001786122288451469,0.003965966251703915,both
2127,5940,0.0007191822744521973,0.001845022618367709,0.003714738425857808,evng
2575,7181,0.000757436650752846,0.0017428176044938988,0.0036956073552087227,evng
2116,5921,0.0006732770228914188,0.0019055156857250676,0.0035916490198773317,evng
6570,23284,0.0006197208960705104,0.0020324539373883406,0.0035261795354680154,evng
713,2354,0.0005508630187293426,0.0022655409870212416,0.0034938407839534003,both
2097,5849,0.0008364956951075202,0.0014707758801260494,0.003444274672593177,evng
846,2664,0.0007625372342595992,0.0015497890680619603,0.0033084244124258447,both
228,1473,0.0007854898600399886,0.0014764683936248938,0.003246775845683489,both
5724,21733,0.0005585138939894724,0.0020608701481629765,0.003222346056510416,both
1587,4653,0.0008084424858203778,0.001423084426038126,0.003220826741525198,both
1784,5041,0.0005942179785367445,0.0018967161443790227,0.003155263962001649,both
2422,6819,0.0003085853021585669,0.003640983203892168,0.0031454405490196004,evng
606,2166,0.0006503243971110295,0.0016978183758237328,0.0030910700378358543,evng
1940,5451,0.0005534133104827192,0.001980468208357252,0.0030683510405314063,both
641,2226,0.0007727384012731055,0.0013423375826356236,0.002903901048298985,evng
1800,5097,0.0002575794670910352,0.0038954866723934743,0.0028090568716172687,both
1179,3533,0.0007497857754927164,0.0013101112379998604,0.0027500015442968005,evng
645,2232,0.0006197208960705104,0.001540100695545963,0.0026719776794413,both
30,1075,0.0007013302321785611,0.0013156259197891218,0.002583107915754859,both
6013,22312,0.000726833149712327,0.001250586001752495,0.0025446957148825443,evng
2916,10741,0.00019382217325662052,0.0046619282746781275,0.0025296277397505603,evng
268,1543,0.0008824009466682987,0.0010117387368579716,0.0024993202757936264,both
1594,4693,0.0002448280083241523,0.0035937877492436127,0.002463208033187568,evng
465,1843,0.0007727384012731055,0.001122287130899041,0.002427862274042312,both
283,1565,0.0006783776063981719,0.001276283120291195,0.0024238519945492297,both
476,1857,0.0007905904435467417,0.0010858484212864935,0.0024033019199733376,evng
2276,6328,0.0007242828579589504,0.0011836935027478644,0.00240013151310438,mrng
3095,11972,0.00053046068470233,0.0015745954566385241,0.0023383513361437277,both
2123,5933,0.0005559636022360958,0.0014596681786384809,0.0022718940243609555,evng
1837,5220,0.00044120047333414937,0.0018076506851334058,0.0022327394634195892,both
4832,19663,0.0005865671032766148,0.0013488296913467307,0.002214942154694827,both
478,1860,0.0007064308156853143,0.0011165059197973813,0.002208097441078141,evng
674,2282,0.0006911290651650548,0.0011410456481103593,0.002207749246033838,both
1214,3640,0.0006401232300975231,0.0012241696702040832,0.0021937784808102384,evng
255,1518,0.0006171706043171338,0.0012334045951408552,0.002131073179769631,evng
1367,4033,0.0006834781899049251,0.0010986876902967574,0.002102260295483526,evng
4733,19400,0.0008951524054351816,0.000823458061174677,0.0020636024611979335,evng
5499,21228,0.000252478883584282,0.002849082683274801,0.002013806243552325,evng
322,1629,0.0005712653527563553,0.0012523266558324311,0.00200282534365905,both
4657,19236,0.0007140816909454441,0.0009856709609893928,0.00197045911702058,evng
